First Name Last Name,Ticket Name,Position Nominated
Flynn Saunder,Party in Le Redacted,Activities Advisory Committee
JD Dhakkad,CHANGE,Activities Advisory Committee
TJ Kim,CHANGE,Activities Advisory Committee
Anushka Pai,CHANGE,Activities Advisory Committee
Yaseen Surgpori,CHANGE,Activities Advisory Committee
Kon Agrafiotis,CHANGE,Activities Advisory Committee
Georgia Kamnnis,CHANGE,Activities Advisory Committee
Esha Serai,CHANGE,Activities Advisory Committee
Jasper Hartman ,CHANGE,Activities Officer
Jorgie Rainbird,CHANGE,Activities Officer
Harrison Felstead ,Party in Le Redacted,Activities Officer
Benjamin Pennington,Party in Le Redacted,Creative and Live Arts Committee
Spiridon Sklavenitis,CHANGE,Creative and Live Arts Committee
Naty Gebremedhin,CHANGE,Creative and Live Arts Committee
Gavan Sharples,Party in Le Redacted,Creative and Live Arts Committee
Freddy Barnes,CHANGE,Creative and Live Arts Committee
Mia Rees,CHANGE,Creative and Live Arts Committee
Ali Pourmohammadi,CHANGE,Creative and Live Arts Committee
Aaryan Dhakal,CHANGE,Creative and Live Arts Committee
Emilie King,CHANGE,Creative and Live Arts Committee
Sandee Weerasinghe Meegahawattage,CHANGE,Creative and Live Arts Officer
Matthew Lusted,CHANGE,Creative and Live Arts Officer
Jacob Grimm,Party in Le Redacted,Disabilities and Carers Committee
Ned Tozer,CHANGE,Disabilities and Carers Committee
Arjun Mehta,CHANGE,Disabilities and Carers Committee
Esha Serai,CHANGE,Disabilities and Carers Committee
Joy Ming,CHANGE,Disabilities and Carers Committee
Rae Kitto,CHANGE,Disabilities and Carers Committee
Monty Richardson,CHANGE,Disabilities and Carers Committee
Jay Davis,CHANGE,Disabilities and Carers Committee
Mehfooz Khan ,CHANGE,Disabilities and Carers Officer
Nick Layton ,CHANGE,Disabilities and Carers Officer
Jacob Grimm,Party in Le Redacted,Disabilities and Carers Officer
Remus Brasier,CHANGE,Education (Academic Affairs) Officer
Rofida Arnaout,CHANGE,Education (Academic Affairs) Officer
Sophie Fritsch,Party in Le Redacted,Education (Academic Affairs) Officer
Madeline Curkovic,CHANGE,Education (Public Affairs) Officer
Malak Ababneh,CHANGE,Education (Public Affairs) Officer
Valerie Reeves-Glezer,Party in Le Redacted,Education (Public Affairs) Officer
Oli Hair,Party in Le Redacted,Environment & Social Justice Officer
Samuel Allan,Free Palestine,Environment & Social Justice Officer
Maddie Van Vliet,CHANGE,Environment & Social Justice Officer
Penelope Scacciante,CHANGE,Environment & Social Justice Officer
Colton Senior,Free Palestine,Environment and Social Justice Committee
Lorie North,Free Palestine,Environment and Social Justice Committee
Jonathan Kalms,Free Palestine,Environment and Social Justice Committee
Trajco Nikolov,CHANGE,Environment and Social Justice Committee
Oli Hair,Party in Le Redacted,Environment and Social Justice Committee
Dominic Burns,CHANGE,Environment and Social Justice Committee
Sam Fujii,Party in Le Redacted,Environment and Social Justice Committee
Madisson Brzezowski,CHANGE,Environment and Social Justice Committee
Katie Lim,CHANGE,Environment and Social Justice Committee
Thomas Scicluna,CHANGE,Environment and Social Justice Committee
Solace Mikhaeil-Broadbent,CHANGE,Environment and Social Justice Committee
Bening Althaf,CHANGE,Environment and Social Justice Committee
Jesse Barnett,Independent,Indigenous Officer
Eve Cartwright,CHANGE,Indigenous Officer
Jesse Barnett,Independent,Indigenous Officer
Chloe Davies ,CHANGE,Lot's Wife Editor/s
Simran Sood-Saleem,CHANGE,Lot's Wife Editor/s
Troy Tait,CHANGE,Lot's Wife Editor/s
Limmy Chuen,CHANGE,Lot's Wife Editor/s
Olly Downing,CHANGE,Lot's Wife Editor/s
Alexander Prior,CHANGE,Lot's Wife Editor/s
Flynn Saunder,Party in Le Redacted,Lot's Wife Editor/s
Nhan Nguyen,Independent,Lot's Wife Editor/s
Nhan Nguyen,Independent,Lot's Wife Editor/s
James Yorke,Party in Le Redacted,Monash Student Council - General Representative
Georgia Kaminis,CHANGE,Monash Student Council - General Representative
Flynn Saunder,Party in Le Redacted,Monash Student Council - General Representative
Samantha Lincolne,CHANGE,Monash Student Council - General Representative
Jacob Grimm,Party in Le Redacted,Monash Student Council - General Representative
Quinney Brownfield,CHANGE,Monash Student Council - General Representative
Oli Hair,Party in Le Redacted,Monash Student Council - General Representative
Anvith Pothapu,CHANGE,Monash Student Council - General Representative
Mia Rees,CHANGE,Monash Student Council - General Representative
Madi Curkovic,CHANGE,National Union of Students (NUS) Delegate
Leroy Van Schellebeck,Free Palestine,National Union of Students (NUS) Delegate
James Yorke,Party in Le Redacted,National Union of Students (NUS) Delegate
Remus Brasier,CHANGE,National Union of Students (NUS) Delegate
Samantha Lincolne,Free Palestine,National Union of Students (NUS) Delegate
Benjamin Pennington,Party in Le Redacted,National Union of Students (NUS) Delegate
Lana Abdelhalim,CHANGE,National Union of Students (NUS) Delegate
Kit Message,Free Palestine,National Union of Students (NUS) Delegate
Lachie Clements,Party in Le Redacted,National Union of Students (NUS) Delegate
Monty Richardson,CHANGE,National Union of Students (NUS) Delegate
Jonathan Kalms,Free Palestine,National Union of Students (NUS) Delegate
Flynn Saunder,Party in Le Redacted,National Union of Students (NUS) Delegate
Rofida Arnaout,CHANGE,National Union of Students (NUS) Delegate
Colton Senior,Free Palestine,National Union of Students (NUS) Delegate
Maddie Van Vliet,CHANGE,National Union of Students (NUS) Delegate
Lorie North,Free Palestine,National Union of Students (NUS) Delegate
Anvith Pothapu,CHANGE,National Union of Students (NUS) Delegate
Jacob Livingston,Free Palestine,National Union of Students (NUS) Delegate
Henry Mao,Party in Le Redacted,People of Colour Collective
Mustafa Ekhlas,CHANGE,People of Colour Collective
Rehman Mughal,CHANGE,People of Colour Collective
Adhnan Latibu,CHANGE,People of Colour Collective
Nada Shadid,CHANGE,People of Colour Collective
Caitlin Ong,CHANGE,People of Colour Collective
Laiba Abbassi,CHANGE,People of Colour Collective
Andrien Lo,CHANGE,People of Colour Collective
Henry Mao,Party in Le Redacted,People of Colour Officer
Carla Hundai,CHANGE,People of Colour Officer
Gilly Mollenada,CHANGE,People of Colour Officer
Lana Abdelhalim,CHANGE,President
James Yorke,Party in Le Redacted,President
Bhavya Vora,Independent,President
Ojas Gupta ,Independent,President
Ishaan Puri,CHANGE,Residential Community Officer
Yvette Harmen,CHANGE,Residential Community Officer
Lily Rose,Party in Le Redacted,Residential Community Officer
Elizabeth Gallagher,Party in Le Redacted,Residential Community Officer
Monty Richardson,CHANGE,Secretary
Lachie Clements,Party in Le Redacted,Secretary
Mitchel Bowen,Party in Le Redacted,Student Affairs Committee
Chloe Mattys,Independent,Student Affairs Committee
Chloe Mattys,Independent,Student Affairs Committee
Jacob Livingston,Free Palestine,Student Affairs Committee
Kit Message,Free Palestine,Student Affairs Committee
Samantha Ong,Free Palestine,Student Affairs Committee
Eamon Fergus,Free Palestine,Student Affairs Committee
Samuel Allan,Free Palestine,Student Affairs Committee
Luka Kiernan,Free Palestine,Student Affairs Committee
Cameron Brown,CHANGE,Student Welfare Committee
Mitchel Bowen,Party in Le Redacted,Student Welfare Committee
Adriel Apparauthai,CHANGE,Student Welfare Committee
Jacob Grimm,Party in Le Redacted,Student Welfare Committee
Nissi-Michelle Ssentamu,CHANGE,Student Welfare Committee
Gregorio Rametta,CHANGE,Student Welfare Committee
Hyeonjin Chang,CHANGE,Student Welfare Committee
Jonathan Lai,CHANGE,Student Welfare Committee
Emilie King,CHANGE,Student Welfare Committee
Nick Fallaw,CHANGE,Treasurer
Flynn Saunder,Party in Le Redacted,Treasurer
Julian Bowling,Party in Le Redacted,Welfare Officer
Alejandro Mariona,CHANGE,Welfare Officer
Anushka Sharma,CHANGE,Welfare Officer
Valerie Reeves-Glezer,Party in Le Redacted,Women's Affairs Committee
Swettha Senthan,CHANGE,Women's Affairs Committee
Emily Zhong,CHANGE,Women's Affairs Committee
Imogen Ineson,CHANGE,Women's Affairs Committee
